1	2016-01-01	119	8108.62
1	2016-01-02	139	8715.97
1	2016-01-03	130	7565.75
1	2016-01-04	146	8159.03
1	2016-01-05	137	7591.57
1	2016-01-06	134	8558.03
1	2016-01-07	134	7471.72
1	2016-01-08	131	6756.84
1	2016-01-09	132	6788.2
1	2016-01-10	130	7228.77
1	2016-01-11	135	5662.31
1	2016-01-12	114	6465.88
1	2016-01-13	118	5280.29
1	2016-01-14	132	6763.86
1	2016-01-15	117	5542.53
1	2016-01-16	128	8019.62
1	2016-01-17	107	5098.8
1	2016-01-18	121	7142.99
1	2016-01-19	126	8954.36
1	2016-01-20	116	5778.26
1	2016-01-21	105	6856.91
1	2016-01-22	118	5638.55
1	2016-01-23	114	8284.47
1	2016-01-24	102	6084.35
1	2016-01-25	127	9047.43
1	2016-01-26	211	21326.25
1	2016-01-27	225	24172.92
1	2016-01-28	182	15331.61
1	2016-01-29	199	16572.34
1	2016-01-30	181	14305.79
1	2016-01-31	149	10170.85
1	2016-02-01	139	10264.43
1	2016-02-02	154	9781.63
1	2016-02-03	136	7930.31
1	2016-02-04	138	7945.68
1	2016-02-05	158	9369.66
1	2016-02-06	151	9535.3
1	2016-02-07	129	7461.62
1	2016-02-08	134	6500.15
1	2016-02-09	102	5775.18
1	2016-02-10	136	7335.76
1	2016-02-11	136	9332.17
1	2016-02-12	142	8217.87
1	2016-02-13	131	10132.41
1	2016-02-14	117	7228.34
1	2016-02-15	126	7809.61
1	2016-02-16	129	7526.81
1	2016-02-17	118	6223.65
1	2016-02-18	117	6730.78
1	2016-02-19	129	5945.99
1	2016-02-20	122	8900.5
1	2016-02-21	127	7307.12
1	2016-02-22	127	8821.75
1	2016-02-23	153	9762.74
1	2016-02-24	143	7537.38
1	2016-02-25	132	8793.12
1	2016-02-26	159	8779.66
1	2016-02-27	151	8646.9
1	2016-02-28	136	9646.98
1	2016-02-29	130	8876.75
1	2016-03-01	137	8818.54
1	2016-03-02	131	6847.24
1	2016-03-03	128	5565.49
1	2016-03-04	136	6713.05
1	2016-03-05	133	8367.54
1	2016-03-06	116	6290.39
1	2016-03-07	124	8551.16
1	2016-03-08	144	7768.2
1	2016-03-09	138	7349.94
1	2016-03-10	126	6186.44
1	2016-03-11	127	8031.61
1	2016-03-12	141	8616.68
1	2016-03-13	121	7313.36
1	2016-03-14	126	7156.92
1	2016-03-15	130	8266.77
1	2016-03-16	114	7037.67
1	2016-03-17	110	5792.04
1	2016-03-18	133	6691.15
1	2016-03-19	141	7217.77
1	2016-03-20	115	5475.36
1	2016-03-21	119	6141.84
1	2016-03-22	150	12031.77
1	2016-03-23	156	10445.15
1	2016-03-24	201	11391.47
1	2016-03-25	200	9780.5
1	2016-03-26	182	8770.97
1	2016-03-27	175	7125.67
1	2016-03-28	157	8347.61
1	2016-03-29	151	8728.19
1	2016-03-30	125	7388.58
1	2016-03-31	166	9572.25
1	2016-04-01	163	12130.76
1	2016-04-02	149	10931.97
1	2016-04-03	154	8999.61
1	2016-04-04	143	8003.05
1	2016-04-05	116	7224.39
1	2016-04-06	112	6092.58
1	2016-04-07	128	7326.12
1	2016-04-08	137	8075.17
1	2016-04-09	140	9054.03
1	2016-04-10	126	7087.65
1	2016-04-11	124	6611.99
1	2016-04-12	105	5303.6
1	2016-04-13	101	5207.5
1	2016-04-14	106	5448.45
1	2016-04-15	113	5433.93
1	2016-04-16	120	6729.8
1	2016-04-17	106	4588.1
1	2016-04-18	101	4214.93
1	2016-04-19	113	4787.49
1	2016-04-20	104	4757.74
1	2016-04-21	106	4537.73
1	2016-04-22	112	4767.53
1	2016-04-23	119	5253.29
1	2016-04-24	106	5289.41
1	2016-04-25	106	4005.94
1	2016-04-26	122	7295.25
1	2016-04-27	151	7948.35
1	2016-04-28	132	7772.95
1	2016-04-29	133	9537.56
1	2016-04-30	122	7335.32
1	2016-05-01	115	5518.09
1	2016-05-02	131	8010.8
1	2016-05-03	124	7416.73
1	2016-05-04	119	5663.01
1	2016-05-05	142	7137.94
1	2016-05-06	132	6543.82
1	2016-05-07	110	7820.88
1	2016-05-08	118	3903.4
1	2016-05-09	116	5959.74
1	2016-05-10	164	13476.79
1	2016-05-11	156	11761.24
1	2016-05-12	140	9553.06
1	2016-05-13	144	9118.57
1	2016-05-14	151	9722.38
1	2016-05-15	143	8265.14
1	2016-05-16	140	5756.43
1	2016-05-17	140	7310.94
1	2016-05-18	139	6869.59
1	2016-05-19	137	7315.64
1	2016-05-20	125	8386.1
1	2016-05-21	137	8348.57
1	2016-05-22	125	6014.27
1	2016-05-23	140	7628.69
1	2016-05-24	131	7697.5
1	2016-05-25	115	5964.61
1	2016-05-26	117	6828.07
1	2016-05-27	105	5804.88
1	2016-05-28	126	5780.13
1	2016-05-29	101	4181.02
1	2016-05-30	120	5739.59
1	2016-05-31	129	6965.35
1	2016-06-01	121	8216
1	2016-06-02	138	6677.46
1	2016-06-03	123	7051.45
1	2016-06-04	123	6071.19
1	2016-06-05	115	5028.13
1	2016-06-06	117	4866.39
1	2016-06-07	100	5665.89
1	2016-06-08	105	4937.09
1	2016-06-09	115	5133.33
1	2016-06-10	120	5082.6
1	2016-06-11	106	5434.69
1	2016-06-12	89	3659.38
1	2016-06-13	108	4973.44
1	2016-06-14	138	7854.4
1	2016-06-15	137	7296.25
1	2016-06-16	131	7803.41
1	2016-06-17	132	7392.55
1	2016-06-18	143	7832.88
1	2016-06-19	121	5741.21
1	2016-06-20	112	4970.32
1	2016-06-21	130	6098.86
1	2016-06-22	95	5626.36
1	2016-06-23	100	5356.53
1	2016-06-24	122	5648.74
1	2016-06-25	113	5854.08
1	2016-06-26	104	4572.83
1	2016-06-27	112	6577.44
1	2016-06-28	124	5549.85
1	2016-06-29	115	5392.23
1	2016-06-30	117	6661.58
1	2016-07-01	118	7522.95
1	2016-07-02	110	6339.16
1	2016-07-03	90	5108.94
1	2016-07-04	122	5271.17
1	2016-07-05	110	4911.75
1	2016-07-06	110	5047.73
1	2016-07-07	108	5626.69
1	2016-07-08	112	6382.78
1	2016-07-09	116	5725.22
1	2016-07-10	107	4131.23
1	2016-07-11	111	4367.76
1	2016-07-12	126	7526.42
1	2016-07-13	117	5733.88
1	2016-07-14	117	5480.41
1	2016-07-15	119	7201.2
1	2016-07-16	122	7020.78
1	2016-07-17	97	4766.64
1	2016-07-18	104	2710.56
1	2016-07-19	91	3694.67
1	2016-07-20	93	3109.25
1	2016-07-21	89	3439.77
1	2016-07-22	100	4210.35
1	2016-07-23	92	4112.72
1	2016-07-24	95	3379.92
1	2016-07-25	91	3667.94
1	2016-07-26	163	11166.51
1	2016-07-27	102	3939.45
1	2016-07-28	106	4977.37
1	2016-07-29	104	5583.07
1	2016-07-30	101	4648.44
1	2016-07-31	103	4506.27
1	2016-08-01	101	4336.05
1	2016-08-02	106	5020.87
1	2016-08-03	93	4228.96
1	2016-08-04	91	4562.6
1	2016-08-05	97	3678.94
1	2016-08-06	103	5461.78
1	2016-08-07	90	3440.07
1	2016-08-08	96	4047.75
1	2016-08-09	126	7300.32
